epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,481.508,0.65238,0.39195,0.91895,0.92707,0.87477,0.95657,0.7715,0.32439,0.22971,0.80846,0.000614,0.000614,0.000614
58,489.726,0.6279,0.37513,0.9219,0.924,0.87133,0.95211,0.76477,0.38614,0.25213,0.82156,0.00058925,0.00058925,0.00058925
59,497.967,0.60507,0.37031,0.91544,0.93818,0.87454,0.95495,0.75984,0.38203,0.23414,0.81568,0.0005645,0.0005645,0.0005645
60,506.203,0.59809,0.36701,0.89968,0.92935,0.87329,0.95547,0.76829,0.31847,0.22146,0.80748,0.00053975,0.00053975,0.00053975
61,514.492,0.61807,0.36819,0.8981,0.93188,0.87428,0.95592,0.76528,0.39776,0.24279,0.81963,0.000515,0.000515,0.000515
62,522.81,0.60745,0.36746,0.90727,0.93656,0.8726,0.95709,0.76983,0.35681,0.23089,0.81107,0.00049025,0.00049025,0.00049025
63,531.133,0.61717,0.36554,0.90254,0.93097,0.87688,0.95978,0.77671,0.34171,0.21917,0.80669,0.0004655,0.0004655,0.0004655
64,539.506,0.60107,0.35518,0.90546,0.92659,0.88122,0.95652,0.77236,0.28619,0.20871,0.80109,0.00044075,0.00044075,0.00044075
65,547.849,0.60174,0.36338,0.90576,0.92452,0.8829,0.96111,0.78229,0.29665,0.21158,0.80067,0.000416,0.000416,0.000416
66,556.25,0.57453,0.34075,0.8947,0.9307,0.87811,0.96035,0.78158,0.27638,0.20069,0.79696,0.00039125,0.00039125,0.00039125
67,564.638,0.58683,0.34334,0.89304,0.92788,0.88404,0.95972,0.7831,0.29233,0.20364,0.79775,0.0003665,0.0003665,0.0003665
68,572.973,0.58288,0.34731,0.89541,0.93737,0.88455,0.96214,0.78464,0.30936,0.20667,0.80012,0.00034175,0.00034175,0.00034175
69,581.196,0.60751,0.35261,0.89947,0.92702,0.88844,0.96075,0.78029,0.28392,0.19701,0.79574,0.000317,0.000317,0.000317
