epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1589.92,0.61965,0.39114,0.91314,0.90918,0.86775,0.94444,0.75586,0.34493,0.26061,0.8009,0.00068825,0.00068825,0.00068825
55,1654,0.6308,0.38898,0.90294,0.90997,0.86625,0.94098,0.75483,0.32217,0.25901,0.79562,0.0006635,0.0006635,0.0006635
56,1713.88,0.65018,0.40084,0.89937,0.91944,0.87477,0.94783,0.76005,0.32635,0.25007,0.79618,0.00063875,0.00063875,0.00063875
57,1774.3,0.66657,0.41313,0.91246,0.9206,0.87625,0.94977,0.75592,0.35175,0.26276,0.80005,0.000614,0.000614,0.000614
58,1835.62,0.64792,0.40265,0.91867,0.9131,0.86997,0.94724,0.75492,0.33248,0.2533,0.80084,0.00058925,0.00058925,0.00058925
59,1899.73,0.63204,0.39813,0.91121,0.91776,0.86443,0.94607,0.75868,0.34768,0.25224,0.79946,0.0005645,0.0005645,0.0005645
60,1965.13,0.62863,0.39051,0.89768,0.92593,0.86073,0.94888,0.76087,0.32673,0.24155,0.79226,0.00053975,0.00053975,0.00053975
61,2030.42,0.64237,0.39885,0.89358,0.92508,0.86738,0.94913,0.76093,0.3439,0.24567,0.79666,0.000515,0.000515,0.000515
62,2096.09,0.62511,0.39249,0.90419,0.92493,0.8693,0.94952,0.76269,0.34105,0.2447,0.79698,0.00049025,0.00049025,0.00049025
63,2161.58,0.63537,0.38871,0.89979,0.92633,0.88216,0.95207,0.76771,0.31903,0.24002,0.79386,0.0004655,0.0004655,0.0004655
64,2207.31,0.61555,0.38244,0.90129,0.92082,0.86781,0.94739,0.76278,0.34685,0.24623,0.7956,0.00044075,0.00044075,0.00044075
65,2214.62,0.62521,0.38709,0.90454,0.93024,0.88216,0.95345,0.76877,0.31569,0.23594,0.79145,0.000416,0.000416,0.000416
66,2221.97,0.59477,0.36564,0.89402,0.92888,0.87218,0.95112,0.76736,0.32598,0.23336,0.79131,0.00039125,0.00039125,0.00039125
67,2231.18,0.61617,0.37582,0.89046,0.92428,0.88253,0.95318,0.77056,0.28508,0.22528,0.78676,0.0003665,0.0003665,0.0003665
68,2260.2,0.6044,0.37367,0.89411,0.9332,0.88242,0.95433,0.76655,0.35484,0.23738,0.79558,0.00034175,0.00034175,0.00034175
69,2281.15,0.62892,0.37645,0.89847,0.92816,0.8829,0.95583,0.76812,0.28847,0.2203,0.78769,0.000317,0.000317,0.000317
70,2298.15,0.62603,0.3782,0.89186,0.93361,0.87588,0.95453,0.77593,0.2855,0.21891,0.78678,0.00029225,0.00029225,0.00029225
71,2322.91,0.47587,0.30342,0.83679,0.93034,0.87822,0.95339,0.77503,0.28037,0.22007,0.78502,0.0002675,0.0002675,0.0002675
72,2330.32,0.45098,0.28809,0.82894,0.92617,0.8829,0.9561,0.77536,0.29,0.2193,0.78575,0.00024275,0.00024275,0.00024275
73,2337.68,0.47498,0.298,0.84373,0.91637,0.88246,0.9531,0.77667,0.29191,0.21852,0.78579,0.000218,0.000218,0.000218
74,2373.2,0.45372,0.29204,0.82674,0.92581,0.87588,0.95377,0.77648,0.31171,0.22016,0.78828,0.00019325,0.00019325,0.00019325
75,2428.18,0.46614,0.29526,0.83202,0.92721,0.87994,0.95407,0.77862,0.27315,0.2086,0.78402,0.0001685,0.0001685,0.0001685
76,2492.47,0.42408,0.27051,0.82119,0.925,0.88327,0.95519,0.77764,0.27712,0.20867,0.78395,0.00014375,0.00014375,0.00014375
77,2557.13,0.44854,0.28353,0.82436,0.92422,0.88179,0.95465,0.77987,0.27541,0.20888,0.78314,0.000119,0.000119,0.000119
78,2618.58,0.44938,0.28398,0.82926,0.92559,0.88364,0.95585,0.77912,0.29443,0.2121,0.78418,9.425e-05,9.425e-05,9.425e-05
79,2665.01,0.4273,0.2716,0.82815,0.92752,0.88398,0.95606,0.7788,0.29553,0.20971,0.7833,6.95e-05,6.95e-05,6.95e-05
80,2726.63,0.44415,0.27712,0.82866,0.929,0.88448,0.95582,0.77992,0.26929,0.20171,0.78045,4.475e-05,4.475e-05,4.475e-05
